,time,AHU: Static Pressure Reset Trim And Respond Signal,AHU: Mixed Air Temperature,Outdoor Air Temperature,AHU: Return Air Temperature,VAV: South Zone Room Air Temperature,VAV: Core Zone Room Air Temperature,VAV: North Zone Room Air Temperature,AHU: Supply Air Temperature,VAV: Core Zone Discharge Air Temperature,VAV: North Zone Discharge Air Temperature,VAV: South Zone Discharge Air Temperature,AHU: Supply Air Temperature Reset Trim And Respond Signal,VAV: Core Zone Airflow Rate,VAV: North Zone Airflow Rate,VAV: South Zone Airflow Rate,AHU: Supply Duct Static Pressure Setpoint,AHU: Supply Air Temperature Setpoint,VAV: Core Zone Cooling Loop Signal,VAV: North Zone Cooling Loop Signal,VAV: South Zone Cooling Loop Signal,AHU: Cooling Coil Load,AHU: Cooling Coil Supply Water Flow Rate,VAV: Core Zone Reheat Valve Signal,VAV: Core Zone Discharge Air Damper Position,AHU: Supply Duct Static Pressure,AHU: Exhaust Air Damper Position,AHU: Outdoor Air Damper Position,AHU: Return Airflow Rate,AHU: Return Air Damper Position,AHU: Supply Fan Power Modelica Inaccurate,AHU: Supply Fan Power,VAV: North Zone Reheat Valve Signal,VAV: North Zone Discharge Air Damper Position,AHU: Supply Fan Airflow Rate,VAV: South Zone Reheat Valve Signal,VAV: South Zone Discharge Air Damper Position,AHU: Cooling Coil Supply Water Temperature
35,19442100.0,0.0,18.296814,16.046173,21.670563,21.497131,21.843079,21.765045,18.29657,18.296509,18.296509,18.296509,0.0,0.032084946,0.032084946,0.049585763,250.0,18.300018,0.0,0.0,0.0,0.0139992125,9.54197e-21,0.0,52.29523,250.0046,32.75366,96.0,0.04552558,24.144876,252.80556,210.90529,0.0,52.29523,0.11375566,0.0,49.52335,8.330017
36,19442160.0,0.0,18.296722,16.039612,21.665771,21.48819,21.842346,21.762634,18.296661,18.29657,18.29657,18.29657,0.0,0.032085013,0.032085013,0.049585894,250.0,18.300018,0.0,0.0,0.0,0.003873133,9.54197e-21,0.0,52.29531,250.00342,32.720795,96.0,0.045641955,24.190886,252.80524,210.90486,0.0,52.29531,0.11375592,0.0,49.52343,8.330017
37,19442220.0,0.0,18.296661,16.033112,21.66101,21.47931,21.841583,21.760254,18.296692,18.29663,18.29663,18.2966,0.0,0.03208507,0.03208507,0.049585994,250.0,18.300018,0.0,0.0,0.0,-0.0026922491,9.54197e-21,0.0,52.295357,250.00267,32.688026,96.0,0.045758028,24.236765,252.80498,210.9046,0.0,52.295357,0.11375613,0.0,49.523476,8.330017
38,19442280.0,0.0,18.296661,16.026642,21.65628,21.47049,21.84085,21.757843,18.296692,18.296661,18.296661,18.296661,0.0,0.032085117,0.032085117,0.049586073,250.0,18.300018,0.0,0.0,0.0,-0.0021760745,9.54197e-21,0.0,52.295387,250.00218,32.654995,96.0,0.04587505,24.283007,252.80475,210.90445,0.0,52.295387,0.11375631,0.0,49.523506,8.330017
39,19442340.0,0.0,18.296753,16.020233,21.65155,21.4617,21.840118,21.755463,18.296692,18.296692,18.296692,18.296661,0.0,0.03208515,0.03208515,0.049586136,250.0,18.300018,0.0,0.0,0.0,0.0019384656,9.54197e-21,0.0,52.2954,250.00188,32.62195,96.0,0.045992173,24.329275,252.80455,210.90437,0.0,52.2954,0.113756426,0.0,49.52352,8.330017
40,19442400.0,0.0,18.296844,16.013885,21.646881,21.452942,21.839386,21.753082,18.296722,18.296692,18.296692,18.296692,0.0,0.032085173,0.032085173,0.049586177,250.0,18.300018,0.0,0.0,0.0,0.0060882084,9.54197e-21,0.0,52.295406,250.00172,32.58914,96.0,0.046108462,24.375198,252.80437,210.90434,0.0,52.295406,0.11375653,0.0,49.52352,8.330017
41,19442460.0,0.0,18.296875,16.007599,21.642242,21.444489,21.838501,21.750702,18.296753,18.296722,18.296722,18.296722,0.0,0.03208519,0.03208519,0.04958621,250.0,18.300018,0.0,0.0,0.0,0.0067275935,9.54197e-21,0.0,52.2954,250.00163,32.556934,96.0,0.046222672,24.420288,252.80418,210.90433,0.0,52.2954,0.11375659,0.0,49.523514,8.330017
42,19442520.0,0.0,18.296906,16.001373,21.637665,21.436096,21.837585,21.748322,18.296814,18.296753,18.296753,18.296753,0.0,0.032085203,0.032085203,0.04958623,250.0,18.300018,0.0,0.0,0.0,0.004822441,9.54197e-21,0.0,52.295387,250.00157,32.52524,96.0,0.046335116,24.464664,252.80402,210.90433,0.0,52.295387,0.11375664,0.0,49.523502,8.330017
43,19442580.0,0.0,18.296875,15.995178,21.633087,21.427704,21.8367,21.74591,18.296844,18.296783,18.296783,18.296783,0.0,0.03208521,0.03208521,0.049586244,250.0,18.300018,0.0,0.0,0.0,0.0021341033,9.54197e-21,0.0,52.29537,250.00154,32.493904,96.0,0.04644632,24.508533,252.80385,210.90433,0.0,52.29537,0.113756664,0.0,49.523487,8.330017
44,19442640.0,0.0,18.296906,15.989075,21.62854,21.419403,21.835815,21.74356,18.296875,18.296814,18.296814,18.296814,0.0,0.032085214,0.032085214,0.04958625,250.0,18.300018,0.0,0.0,0.0,0.0014363204,9.54197e-21,0.0,52.29535,250.00153,32.462704,96.0,0.046557073,24.552214,252.80368,210.90434,0.0,52.29535,0.11375669,0.0,49.523468,8.330017
